Action Name,Description,Hazard Name,Sector,Subsector,Cobenefits (Air quality/Emissions),Cobenefits (Water Quality),Cobenefits (Cost of Living),Cobenefits (Housing),Cobenefits (Mobility),Cobenefits (Stakeholder engagement),Equity and Inclusion Considerations,Timeline for Implementation,Dependencies,Potential Key Performance Indicators,Category,Local Climate Zone,Complexity,Cost Range,Further Resources,Heat Relevance Score
Restore and Expand Forest and Degraded Ecosystems through Afforestation,"Restore degraded forest ecosystems through large-scale afforestation and reforestation programs in urban and peri-urban areas. Increased tree cover reduces surface and air temperatures through shading and evapotranspiration, mitigating the urban heat island effect while sequestering carbon.","Extreme Heat, Droughts",AFOLU,Land,0,1,0,0,0,0,"Supports local livelihoods, promotes land-use equity, and requires inclusive stakeholder participation in planning to prevent displacement of forest-dependent and low-income communities.",5-10 years,"Requires funding for land restoration, ""access to suitable species for planting"", ""local community engagement"", ""monitoring systems for ecosystem integrity and carbon sequestration""","Area of land reforested or afforested, ""carbon sequestration rates"", ""improvement in biodiversity indices"", ""ecosystem service metrics such as water regulation and soil quality""",Ecosystem-Based/Nature-Based,"LCZA, LCZB, LCZC, LCZD",High,Medium,"IPCC AR6 WGIII Ch7 (2022). Agriculture, Forestry and Other Land Uses. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/ | EPA (2023). Trees and Vegetation. https://www.epa.gov/heatislands/using-trees-and-vegetation-reduce-heat-islands",3
Integrate Green-Blue Infrastructure in City Projects,"Integrate green-blue infrastructure—combining vegetation, soil, and water features—into city planning and public works projects. Green-blue infrastructure reduces surface runoff, lowers ambient temperatures through evapotranspiration, and improves urban biodiversity and wellbeing.","Extreme Heat, Floods",Public Works; Parks,No Value Available,0,0,0,0,0,0,"Investments must prioritize low-income areas lacking cooling green space, with community participation to prevent gentrification and displacement of residents most at risk.",<5 years,"Development of integrated water and green area policies to align urban water management with green infrastructure goals., ""Availability of technical expertise and funding to implement blue infrastructure projects, such as sustainable drainage systems and water retention areas."", ""Collaboration with urban planners, environmental organizations, and local governments to design and manage blue infrastructure that supports ecosystem restoration and climate resilience.""","Increase in water retention capacity of urban areas (m³)., ""Reduction in urban flooding incidents post-implementation (%)."", ""Increase in green spaces linked to water features (hectares).""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6, LCZA, LCZB, LCZD",High,Medium,IUCN (2020). Global Standard for Nature-based Solutions. https://portals.iucn.org/library/node/49070 | C40 Knowledge Hub. Green-Blue Infrastructure Action Guide. https://www.c40knowledgehub.org,3
Install Permeable Pavements,"Install permeable and semi-permeable pavements in streets, parking areas, and public spaces to enable stormwater infiltration and evaporative cooling. Combine with nature-based solutions such as bioswales and green strips to lower ambient temperatures and manage urban flooding.","Extreme Heat, Floods, Landslides",Public Works; Parks,No Value Available,1,1,0,1,0,1,Prioritize low-income neighborhoods and informal settlements with highest impervious coverage and heat-flood risk; local employment in installation extends social benefits.,<5 years,"Expansion of permeable and semi-permeable areas in City-administered buildings and public spaces., ""Adoption of nature-based solutions (NbS) such as urban tree planting, green roofs, rainwater cisterns, and bio-swales."", ""Feasibility analyses for permeable pavements and increased green areas in roadways, alongside traditional stormwater management solutions like curbs, gutters, and retention ponds.""","Reduction in surface water runoff during rainfall events (%)., ""Decrease in flooding occurrences in modified areas."", ""Percentage of public spaces complying with new permeable surface regulations.""",Engineering & Built Environment,"LCZ5, LCZ6, LCZ8",High,Medium,EPA (2021). Soak Up the Rain: Permeable Pavement. https://www.epa.gov/soakuptherain/soak-rain-permeable-pavement | Lawrence Berkeley National Laboratory. Cool Pavements. https://heatisland.lbl.gov/coolscience/cool-pavements,3
Retrofit Urban Infrastructure for Climate and Heat Resilience,"Retrofit existing urban infrastructure—including roads, bridges, utilities, and public spaces—to withstand increased heat, flooding, and other climate hazards. Upgrades include heat-resistant materials, improved drainage, and enhanced thermal performance.","Extreme Heat, Floods, Droughts",Road infrastructure; Public Health; Energy Security,No Value Available,1,1,-1,1,1,1,"Improves resilience for vulnerable communities, especially those in low-income areas, by reducing infrastructure risks from extreme heat and climate change.",5-10 years,"Policy alignment, ""Funding availability"", ""Engineering and construction expertise""","Reduced infrastructure failure during hazards, ""Increased capacity for housing and energy systems""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3, LCZ8",High,High,"IPCC AR6 WGII Ch6 (2022). Cities, Settlements and Key Infrastructure. https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-6/ | UNDRR (2023). Infrastructure and Disaster Risk. https://www.undrr.org",4
Incorporate Natural Shading and Ventilation in Building Design,"Encourage the use of architectural features such as shaded facades, green roofs, and cross-ventilation to reduce reliance on mechanical cooling systems.",Extreme Heat,Stationary Energy,All buildings,1,0,1,1,0,0,Passive cooling is most valuable for low-income households who cannot afford air conditioning; building codes should specifically address social housing and informal settlements.,<5 years,"Development of building design guidelines and standards that promote the integration of passive cooling features like shaded facades, green roofs, and cross-ventilation, ""Availability of financial incentives or support for incorporating energy-efficient architectural features in both new and existing buildings"", ""Collaboration with architects, urban planners, and local authorities to integrate these features into urban development and renovation projects""","Number of buildings incorporating natural shading/ventilation., ""Reduction in cooling energy demand (%) per building."", ""Temperature resilience improvements in monitored buildings (°C).""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3",High,Medium,ASHRAE (2022). Standard 55-2020: Thermal Environmental Conditions for Human Occupancy. https://www.ashrae.org | IPCC AR6 WGIII Ch9 (2022). Buildings. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-9/,4
Encourage Energy and Thermal Benchmarking in Buildings,Encourage the comparison of energy performance in public buildings.,Extreme Heat,Stationary Energy,institutional buildings,0,0,0,0,0,2,Benchmarking must support small landlords and social housing operators with limited capacity; public results help low-income tenants advocate for thermal improvements.,<5 years,"Establish standardized metrics and a transparent reporting system for energy performance., ""Provide training for facility managers on energy efficiency."", ""Offer incentives to encourage energy performance improvements in public buildings.""","Number of buildings that perform energy benchmarking annually., ""Percentage reduction in the average energy consumption of monitored buildings (%)."", ""Energy savings achieved in participating buildings (kWh/year).""",Informational,"LCZ1, LCZ2, LCZ3, LCZ8",Medium,Low,ASHRAE (2022). Building Energy Benchmarking Guidance. https://www.ashrae.org | EPA ENERGY STAR (2023). Portfolio Manager. https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager,3
Install Public Shading Structures in Urban Spaces,"Install shade structures in public spaces—including canopies, pergolas, tree canopy, and covered transit stops—to reduce radiant and ambient heat exposure for pedestrians. Shading can reduce perceived temperature by 10–15°C in outdoor spaces and is particularly effective at protecting vulnerable populations during heatwaves.",Extreme Heat,Public Works; Parks,No Value Available,0,0,0,0,1,2,"Shading most benefits elderly, children, low-income workers, and unhoused people who spend more time outdoors; prioritize underserved neighborhoods and transit corridors.",<5 years,"Availability of funding for the construction and maintenance of shade structures, ""Collaboration with urban planners and architects for design integration"", ""Community engagement to ensure public support and usage"", ""Assessment of local climate conditions to determine optimal shading solutions"", ""Compliance with local regulations and zoning laws regarding public space modifications""","Reduction in average surface temperature in shaded areas, ""Increase in public space usage during peak heat hours"", ""Number of shade structures installed"", ""User satisfaction ratings of shaded areas"", ""Decrease in heat-related health incidents"", ""Increase in biodiversity in shaded areas"", ""Energy savings in nearby buildings due to reduced heat"", ""Community engagement and participation in shading initiatives""","Engineering & Built Environment, Structural/Physical","LCZ1, LCZ2, LCZ3",Medium,Low,"Middel, A. et al. (2016). Impact of urban form and design on mid-afternoon microclimate. Landscape and Urban Planning 154. | Atlantic Council Extreme Heat Resilience Alliance (2022). Heat Action Platform. https://www.atlanticcouncil.org/programs/global-energy-center/heat-action-platform/",5
Develop Urban and Community Gardens,"Develop urban and community gardens on underutilized or vacant land to create productive green spaces that reduce local surface temperatures through evapotranspiration, support food security, and provide community hubs for heat relief and social cohesion.","Extreme Heat, Landslides, Floods",Parks; Public Works,No Value Available,1,0,1,1,0,2,Gardens deliver greatest value in food deserts and informal settlements; inclusive governance with secure land tenure prevents appropriation by higher-income residents.,<5 years,"Ensure availability of detailed land-use maps and urban planning data., ""Engage with local communities to understand their needs and expectations."", ""Evaluate soil quality, water availability, and form partnerships to support the establishment and maintenance of gardens.""","Number of urban gardens created., ""Amount of locally produced food (kg/year)."", ""Number of direct beneficiaries.""",Structural/Physical,"LCZ5, LCZ6",Medium,Low,FAO (2022). Urban Food Systems. https://www.fao.org/urban-food-actions/en/ | Atlantic Council Extreme Heat Resilience Alliance (2022). Community Gardens Action Brief. https://www.atlanticcouncil.org/programs/global-energy-center/heat-action-platform/,2
Deploy Cool and Light-Colored Pavement Materials,"Deploy cool and light-colored pavement materials—including reflective coatings, porous asphalt, and permeable paver blocks—to reduce pavement surface temperatures by reflecting solar radiation. This lowers ambient air temperatures, extends pavement lifespan, and reduces the urban heat island effect in high-traffic areas.",Extreme Heat,Public Works,No Value Available,0,0,0,0,0,0,Cool pavement programs should prioritize streets in low-income and informal neighborhoods with less greenery and more intense urban heat island effects.,5-10 years,"Availability of reflective materials suitable for urban infrastructure, ""Support from local government and urban planners for implementation"", ""Funding and financial resources for installation and maintenance"", ""Public awareness and community engagement in climate action initiatives"", ""Research and data on urban heat islands and their impacts""","Reduction in surface temperature of pavements, ""Percentage of area covered by cool pavements"", ""Decrease in urban heat island effect"", ""Energy savings in nearby buildings"", ""Reduction in heat-related health incidents"", ""Increase in public awareness and engagement"", ""Cost-effectiveness of implementation"", ""Longevity and durability of materials used""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6, LCZ8",Medium,Low,Lawrence Berkeley National Laboratory. Cool Pavements. https://heatisland.lbl.gov/coolscience/cool-pavements | EPA (2023). Heat Island Effect: Pavements. https://www.epa.gov/heatislands/heat-island-cooling-strategies,5
Expand and Enhance Parks and Public Green Spaces,"Expand urban green spaces and parks across all neighborhoods, prioritizing heat-exposed and underserved areas, to reduce urban heat island intensity, improve air quality, and enhance community wellbeing.",Extreme Heat,Adaptation,No Value Available,1,1,0,0,0,0,"Expansion must prioritize low-income communities with least existing canopy, addressing the strong historical correlation between neighborhood income and access to cooling vegetation.",<5 years,"Availability of land for park development and expansion, ""Funding for park construction and ongoing maintenance"", ""Community engagement and support for green space initiatives"", ""Collaboration with urban planners and local government"", ""Regulatory frameworks supporting green space requirements in underserved areas""","Increase in green space area per capita (m²/person), ""Number of new parks and green spaces created"", ""Percentage of population within 300m of accessible green space"", ""Reduction in ambient temperature in expanded green areas (°C)"", ""Reduction in urban heat island intensity in target neighborhoods""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6",Medium,Medium,EPA (2023). Using Trees and Vegetation to Reduce Heat Islands. https://www.epa.gov/heatislands | C40 Knowledge Hub. Urban Forests Action Guide. https://www.c40knowledgehub.org,3
Improve Building Envelopes with Heat-Resilient Materials,"Improve building envelopes using heat-resilient materials and construction techniques—including high-performance insulation, reflective cladding, and thermally massive walls—to reduce heat gain in summer and lower cooling energy requirements.",Extreme Heat,Buildings,No Value Available,1,0,0,-1,0,0,Prioritize low-income households facing highest indoor heat burden; subsidies and financing are critical to ensure envelope upgrades reach those with fewest resources.,<5 years,"Availability of heat-resilient building materials in local markets, ""Regulatory standards for thermal performance of building envelopes"", ""Training and certification programs for contractors and builders"", ""Financial incentives or subsidies for building envelope upgrades"", ""Building code enforcement mechanisms""","Number of buildings upgraded with heat-resilient envelope materials, ""Reduction in cooling energy demand per building (%)"", ""Average reduction in indoor temperature during heat events (°C)"", ""Energy savings achieved in upgraded buildings (kWh/year)"", ""Percentage of buildings compliant with thermal performance standards""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Medium,ASHRAE (2022). Standard 90.1-2022: Energy Standard for Buildings. https://www.ashrae.org | EPA (2023). Heat Island Effect: Buildings. https://www.epa.gov/heatislands,5
Train Building Operators in Energy and Heat Management,"Train building operators and facility managers in energy management, HVAC optimization, and heat emergency protocols to improve building performance during heat events and reduce energy consumption.",Extreme Heat,Buildings; Public Works,No Value Available,0,0,0,0,0,1,Training should target operators in social housing and affordable buildings where low-income residents face high heat risk and benefit most from improved management.,<5 years,"Development of training curriculum and certification programs for building operators, ""Availability of qualified trainers and instructors"", ""Funding for training programs and facilities"", ""Engagement and commitment from building owners and facility managers"", ""Collaboration with industry associations and government agencies""","Number of building operators trained, ""Reduction in energy consumption in participating buildings (%)"", ""Number of buildings with certified heat management operators"", ""Improvement in HVAC system efficiency ratings"", ""Reduction in heat-related incidents in managed buildings""",Informational,"LCZ1, LCZ2, LCZ3, LCZ8",High,Medium,ASHRAE (2022). Building Operator Certification. https://www.ashrae.org | IEA (2023). Buildings – Energy System Analysis. https://www.iea.org/energy-system/buildings,4
Establish Community Cooling Centers for Heat Emergency Relief,"Establish designated community cooling centers—such as libraries, community halls, and transit stations—that provide free, accessible refuge from extreme heat for vulnerable residents who lack home cooling, with extended hours during heat emergencies.",Extreme Heat,Disaster Risk Management; Public Health; Education; Transportation; Informal Settlements,No Value Available,0,0,0,1,0,1,"Site cooling centers to minimize transportation barriers for elderly, low-income, and disabled populations; prioritize underserved neighborhoods with highest heat vulnerability.",<5 years,"Identification and designation of suitable facilities as cooling centers, ""Funding for operations, cooling equipment, and staffing"", ""Community awareness campaigns on cooling center locations and hours"", ""Coordination with health and emergency services"", ""Protocols for extended hours and activation during heat emergencies""","Number of cooling centers established and operational, ""Number of people served during heat emergencies"", ""Geographic coverage of cooling centers (% of population within access distance)"", ""Reduction in heat-related hospitalizations in served areas"", ""Average response time for opening centers during declared heat emergencies""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",Medium,Low,CDC (2023). Cooling Centers. https://www.cdc.gov/niosh/topics/emres/heat.html | WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410,5
Install Cooling Systems in Transit Stations,"Install cooling and ventilation systems in transit stations and bus shelters to provide thermal comfort for commuters during extreme heat events, making public transit a more viable and safe option during heatwaves.",Extreme Heat,Transportation; Informal Settlements,No Value Available,1,0,0,0,2,0,"Prioritize cooling installations on corridors and stations serving heat-vulnerable, low-income neighborhoods to provide thermal relief for transit-dependent and outdoor commuters.",<5 years,"Infrastructure assessment of transit stations for cooling system feasibility, ""Capital funding for cooling system installation"", ""Collaboration with transit authorities and operators"", ""Adequate energy supply infrastructure for cooling systems"", ""Maintenance protocols and technical expertise for system operations""","Number of transit stations with cooling systems installed, ""Reduction in platform temperature during peak heat events (°C)"", ""Increase in public transit ridership during heatwave periods (%)"", ""Energy consumption of installed cooling systems (kWh/year)"", ""User satisfaction ratings in cooled transit stations""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3",Medium,Low,UITP (2021). Public Transport and Climate Change. https://www.uitp.org | Atlantic Council Extreme Heat Resilience Alliance (2022). Cooled Transit Stations Action Brief. https://www.atlanticcouncil.org,5
Aggregate Cooling Demand to Improve Energy Efficiency,"Aggregate cooling demand from multiple buildings to negotiate lower prices, enable shared infrastructure, and improve overall system efficiency, reducing the energy and cost burden of cooling during extreme heat events.",Extreme Heat,City Administration,No Value Available,1,0,0,1,0,0,"Aggregated programs should include social housing and affordable buildings to ensure efficiency benefits reach low-income residents, not only large commercial users.",<5 years,"Formation of building owner cooperatives or demand aggregation consortia, ""Shared metering and monitoring infrastructure across participating buildings"", ""Regulatory frameworks or utility agreements supporting demand aggregation"", ""Technical expertise for demand management and negotiation"", ""Engagement and commitment from participating building owners""","Reduction in aggregated cooling energy consumption (%), ""Cost savings from demand aggregation for participating buildings ($/year)"", ""Number of buildings participating in aggregation programs"", ""Peak demand reduction during heat events (kW)"", ""Reduction in carbon emissions from cooling (tons CO₂/year)""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ8",High,Low,IEA (2023). Smart Grids. https://www.iea.org/energy-system/electricity/smart-grids | UNEP (2022). Cooling Emissions and Policy Synthesis Report. https://www.unep.org,4
